wavelength(nm), Y
1515.96, -2.16463
1515.87, -2.16262
1515.77, -2.16062
1515.68, -2.15861
1515.58, -2.1566
1515.49, -2.15459
1515.39, -2.15259
1515.29, -2.15058
1515.2, -2.14857
1515.1, -2.14657
1515.01, -2.14456
1514.91, -2.14256
1514.82, -2.14056
1514.72, -2.13855
1514.63, -2.13655
1514.53, -2.13455
1514.44, -2.13254
1514.34, -2.13054
1514.24, -2.12854
1514.15, -2.12658
1514.05, -2.12465
1513.96, -2.12273
1513.86, -2.12081
1513.77, -2.11889
1513.67, -2.11697
1513.58, -2.11505
1513.48, -2.11313
1513.39, -2.1112
1513.29, -2.10929
1513.2, -2.10737
1513.1, -2.10545
1513, -2.10353
1512.91, -2.10161
1512.81, -2.09969
1512.72, -2.09778
1512.62, -2.09586
1512.53, -2.09394
1512.43, -2.09203
1512.34, -2.09011
1512.24, -2.0882
1512.15, -2.08628
1512.05, -2.08437
1511.96, -2.08245
1511.86, -2.08054
1511.77, -2.07863
1511.67, -2.07671
1511.58, -2.0748
1511.48, -2.07289
1511.39, -2.07098
1511.29, -2.06907
1511.2, -2.06716
1511.1, -2.06525
1511.01, -2.06334
1510.91, -2.06143
1510.82, -2.05952
1510.72, -2.05761
1510.63, -2.0557
1510.53, -2.0538
1510.44, -2.05189
1510.34, -2.04998
1510.25, -2.04808
1510.15, -2.04617
1510.06, -2.04427
1509.96, -2.04236
1509.87, -2.04046
1509.77, -2.03855
1509.68, -2.03665
1509.58, -2.03474
1509.49, -2.03284
1509.39, -2.03098
1509.3, -2.02916
1509.2, -2.02734
1509.11, -2.02552
1509.01, -2.0237
1508.92, -2.02188
1508.82, -2.02006
1508.73, -2.01825
1508.63, -2.01643
1508.54, -2.01461
1508.44, -2.0128
1508.35, -2.01098
1508.26, -2.00917
1508.16, -2.00735
1508.07, -2.00554
1507.97, -2.00372
1507.88, -2.00191
1507.78, -2.00009
1507.69, -1.99828
1507.59, -1.99647
1507.5, -1.99466
1507.4, -1.99284
1507.31, -1.99103
1507.21, -1.98922
1507.12, -1.98741
1507.03, -1.9856
1506.93, -1.98379
1506.84, -1.98198
1506.74, -1.98017
1506.65, -1.97836
1506.55, -1.97655
1506.46, -1.97474
1506.36, -1.97294
1506.27, -1.97113
1506.18, -1.96932
1506.08, -1.96751
1505.99, -1.96571
1505.89, -1.9639
1505.8, -1.9621
1505.7, -1.96029
1505.61, -1.95849
1505.51, -1.95668
1505.42, -1.95488
1505.33, -1.95307
1505.23, -1.95127
1505.14, -1.94947
1505.04, -1.94767
1504.95, -1.94586
1504.85, -1.94406
1504.76, -1.94226
1504.67, -1.94049
1504.57, -1.93875
1504.48, -1.93702
1504.38, -1.93529
1504.29, -1.93356
1504.19, -1.93183
1504.1, -1.9301
1504.01, -1.92837
1503.91, -1.92665
1503.82, -1.92492
1503.72, -1.92319
1503.63, -1.92146
1503.54, -1.91973
1503.44, -1.91801
1503.35, -1.91628
1503.25, -1.91455
1503.16, -1.91283
1503.07, -1.9111
1502.97, -1.90938
1502.88, -1.90765
1502.78, -1.90593
1502.69, -1.9042
1502.6, -1.90248
1502.5, -1.90076
1502.41, -1.89903
1502.31, -1.89731
1502.22, -1.89559
1502.13, -1.89387
1502.03, -1.89214
1501.94, -1.89042
1501.84, -1.8887
1501.75, -1.88698
1501.66, -1.88526
1601.67, -58.9894
1601.56, -58.9894
1601.45, -58.9894
1601.35, -58.9894
1601.24, -58.9894
1601.13, -58.9894
1601.03, -58.9894
1600.92, -58.9894
1600.81, -58.9894
1600.71, -58.9894
1600.6, -58.9894
1600.49, -58.9894
1600.39, -58.9894
1600.28, -58.9894
1600.17, -58.9894
1600.07, -58.9894
1599.96, -58.9423
1599.85, -58.8179
1599.75, -58.6953
1599.64, -58.5744
1599.53, -58.4551
1599.43, -58.3375
1599.32, -58.2214
1599.21, -58.1069
1599.11, -57.9938
1599, -57.8822
1598.9, -57.772
1598.79, -57.6632
1598.68, -57.5558
1598.58, -57.4496
1598.47, -57.3448
1598.36, -57.2412
1598.26, -57.1388
1598.15, -57.0376
1598.04, -56.9375
1597.94, -56.8386
1597.83, -56.7409
1597.73, -56.6442
1597.62, -56.5485
1597.51, -56.454
1597.41, -56.3604
1597.3, -56.2678
1597.19, -56.1762
1597.09, -56.0856
1596.98, -55.9959
1596.88, -55.9071
1596.77, -55.8192
1596.66, -55.7322
1596.56, -55.6461
1596.45, -55.5608
1596.35, -55.4763
1596.24, -55.3927
1596.13, -55.3098
1596.03, -55.2277
1595.92, -55.1464
1595.82, -55.0659
1595.71, -54.9861
1595.6, -54.907
1595.5, -54.8286
1595.39, -54.7509
1595.29, -54.674
1595.18, -54.5977
1595.07, -54.522
1594.97, -54.447
1594.86, -54.3727
1594.76, -54.299
1594.65, -54.2081
1594.54, -54.0814
1594.44, -53.9565
1594.33, -53.8334
1594.23, -53.712
1594.12, -53.5922
1594.02, -53.4741
1593.91, -53.3576
1593.8, -53.2426
1593.7, -53.1292
1593.59, -53.0172
1593.49, -52.9066
1593.38, -52.7974
1593.28, -52.6896
1593.17, -52.583
1593.06, -52.4778
1592.96, -52.3739
1592.85, -52.2711
1592.75, -52.1696
1592.64, -52.0692
1592.54, -51.97
1592.43, -51.8719
1592.33, -51.7749
1592.22, -51.679
1592.11, -51.5841
1592.01, -51.4903
1591.9, -51.3974
1591.8, -51.3055
1591.69, -51.2146
1591.59, -51.1247
1591.48, -51.0356
1591.38, -50.9475
1591.27, -50.8602
1591.16, -50.7739
1591.06, -50.6883
1590.95, -50.6036
1590.85, -50.5197
1590.74, -50.4367
1590.64, -50.3544
1590.53, -50.2728
1590.43, -50.1921
1590.32, -50.1121
1590.22, -50.0328
1590.11, -49.9542
1590.01, -49.8763
1589.9, -49.7992
1589.8, -49.7227
1589.69, -49.6468
1589.59, -49.5717
1589.48, -49.4971
1589.38, -49.443
1589.27, -49.4423
1589.17, -49.4416
1589.06, -49.4409
1588.96, -49.4402
1588.85, -49.4395
1588.74, -49.4388
1588.64, -49.4381
1588.53, -49.4374
1588.43, -49.4367
1588.32, -49.436
1588.22, -49.4353
1588.11, -49.4346
1588.01, -49.4339
1587.9, -49.4332
1587.8, -49.4325
1587.69, -49.4318
1587.59, -49.4311
1587.49, -49.4304
1587.38, -49.4297
1587.28, -49.429
1587.17, -49.4283
1587.07, -49.4276
1586.96, -49.4269
1586.86, -49.4262
1586.75, -49.4255
1586.65, -49.4249
1586.54, -49.4242
1586.44, -49.4235
1586.33, -49.4228
1586.23, -49.4221
1586.12, -49.4214
1586.02, -49.4207
1585.91, -49.42
1585.81, -49.4193
1585.7, -49.4186
1585.6, -49.4179
1585.49, -49.4172
1585.39, -49.4165
1585.29, -49.4158
1585.18, -49.4151
1585.08, -49.4144
1584.97, -49.4137
1584.87, -49.413
1584.76, -49.4123
1584.66, -49.4116
1584.55, -49.4109
1584.45, -49.4102
1584.34, -49.4095
1584.24, -49.4088
1584.14, -49.4211
1584.03, -49.4798
1583.93, -49.539
1583.82, -49.5985
1583.72, -49.6585
1583.61, -49.7189
1583.51, -49.7797
1583.4, -49.841
1583.3, -49.9026
1583.2, -49.9647
1583.09, -50.0273
1582.99, -50.0903
1582.88, -50.1538
1582.78, -50.2177
1582.67, -50.2822
1582.57, -50.3471
1582.47, -50.4124
1582.36, -50.4783
1582.26, -50.5447
1582.15, -50.6116
1582.05, -50.679
1581.95, -50.747
1581.84, -50.8154
1581.74, -50.8845
1581.63, -50.9541
1581.53, -51.0242
1581.42, -51.0949
1581.32, -51.1662
1581.22, -51.2381
1581.11, -51.3106
1581.01, -51.3836
1580.9, -51.4574
1580.8, -51.5317
1580.7, -51.6067
1580.59, -51.6823
1580.49, -51.7586
1580.38, -51.8356
1580.28, -51.9133
1580.18, -51.9916
1580.07, -52.0707
1579.97, -52.1505
1579.86, -52.2311
1579.76, -52.3124
1579.66, -52.3944
1579.55, -52.4773
1579.45, -52.5609
1579.35, -52.6454
1579.24, -52.7307
1579.14, -52.8168
1579.03, -52.9038
1578.93, -52.9815
1578.83, -53.0083
1578.72, -53.0352
1578.62, -53.0623
1578.52, -53.0894
1578.41, -53.1166
1578.31, -53.1438
1578.2, -53.1712
1578.1, -53.1986
1578, -53.2262
1577.89, -53.2538
1577.79, -53.2815
1577.69, -53.3093
1577.58, -53.3372
1577.48, -53.3651
1577.38, -53.3932
1577.27, -53.4214
1577.17, -53.4496
1577.06, -53.478
1576.96, -53.5064
1576.86, -53.5349
1576.75, -53.5635
1576.65, -53.5923
1576.55, -53.6211
1576.44, -53.65
1576.34, -53.679
1576.24, -53.7081
1576.13, -53.7373
1576.03, -53.7666
1575.93, -53.796
1575.82, -53.8255
1575.72, -53.8551
1575.62, -53.8848
1575.51, -53.9146
1575.41, -53.9445
1575.31, -53.9745
1575.2, -54.0046
1575.1, -54.0348
1575, -54.0651
1574.89, -54.0955
1574.79, -54.1261
1574.69, -54.1567
1574.58, -54.1875
1574.48, -54.2183
1574.38, -54.2493
1574.27, -54.2804
1574.17, -54.3116
1574.07, -54.3429
1573.96, -54.3743
1573.86, -54.4058
1573.76, -54.4112
1573.66, -54.2165
1573.55, -54.0261
1573.45, -53.8398
1573.35, -53.6574
1573.24, -53.4787
1573.14, -53.3036
1573.04, -53.132
