wavelength(nm), Y
1536.81, -2.29033
1536.71, -2.28437
1536.62, -2.27843
1536.52, -2.27248
1536.42, -2.26654
1536.32, -2.26061
1536.22, -2.25468
1536.13, -2.24875
1536.03, -2.24283
1535.93, -2.23691
1535.83, -2.23099
1535.73, -2.22508
1535.63, -2.21917
1535.54, -2.21327
1535.44, -2.20737
1535.34, -2.20147
1535.24, -2.19558
1535.14, -2.18969
1535.05, -2.18381
1534.95, -2.17793
1534.85, -2.17206
1534.75, -2.16619
1534.65, -2.16032
1534.56, -2.15445
1534.46, -2.14859
1534.36, -2.14274
1534.26, -2.13689
1534.16, -2.13104
1534.07, -2.1252
1533.97, -2.11936
1533.87, -2.11352
1533.77, -2.10769
1533.67, -2.10186
1533.58, -2.09604
1533.48, -2.09036
1533.38, -2.08476
1533.28, -2.07916
1533.18, -2.07356
1533.09, -2.06796
1532.99, -2.06237
1532.89, -2.05679
1532.79, -2.0512
1532.7, -2.04562
1532.6, -2.04005
1532.5, -2.03447
1532.4, -2.0289
1532.3, -2.02334
1532.21, -2.01778
1532.11, -2.01222
1532.01, -2.00666
1531.91, -2.00111
1531.82, -1.99556
1531.72, -1.99002
1531.62, -1.98448
1531.52, -1.97894
1531.43, -1.97341
1531.33, -1.96788
1531.23, -1.96235
1531.13, -1.95683
1531.03, -1.95131
1530.94, -1.94579
1530.84, -1.94028
1530.74, -1.93477
1530.64, -1.92926
1530.55, -1.92376
1530.45, -1.91826
1530.35, -1.91277
1530.25, -1.90727
1530.16, -1.90179
1530.06, -1.8963
1529.96, -1.89082
1529.87, -1.88534
1529.77, -1.87987
1529.67, -1.8744
1529.57, -1.86893
1529.48, -1.86346
1529.38, -1.858
1529.28, -1.85255
1529.18, -1.84709
1529.09, -1.84164
1528.99, -1.83619
1528.89, -1.83075
1528.79, -1.82531
1528.7, -1.81987
1528.6, -1.8146
1528.5, -1.80942
1528.41, -1.80424
1528.31, -1.79907
1528.21, -1.7939
1528.11, -1.78873
1528.02, -1.78357
1527.92, -1.7784
1527.82, -1.77325
1527.72, -1.76809
1527.63, -1.76294
1527.53, -1.75779
1527.43, -1.75264
1527.34, -1.7475
1527.24, -1.74236
1527.14, -1.73722
1527.05, -1.73209
1526.95, -1.72695
1526.85, -1.72183
1526.75, -1.7167
1526.66, -1.71158
1526.56, -1.70646
1526.46, -1.70134
1526.37, -1.69623
1526.27, -1.69112
1526.17, -1.68601
1526.08, -1.68091
1525.98, -1.67581
1525.88, -1.67071
1525.78, -1.66562
1525.69, -1.66052
1525.59, -1.65543
1525.49, -1.65035
1525.4, -1.64526
1525.3, -1.64018
1525.2, -1.63511
1525.11, -1.63003
1525.01, -1.62496
1524.91, -1.61989
1524.82, -1.61483
1524.72, -1.60976
1524.62, -1.60471
1524.53, -1.59965
1524.43, -1.5946
1524.33, -1.58954
1524.24, -1.5845
1524.14, -1.57945
1524.04, -1.57441
1523.95, -1.56937
1523.85, -1.56433
1523.75, -1.55949
1523.66, -1.55477
1523.56, -1.55006
1523.46, -1.54535
1523.37, -1.54064
1523.27, -1.53594
1523.17, -1.53124
1523.08, -1.52654
1522.98, -1.52184
1522.88, -1.51715
1522.79, -1.51245
1522.69, -1.50776
1522.59, -1.50308
1522.5, -1.49839
1522.4, -1.49371
1522.3, -1.48903
1522.21, -1.48435
1522.11, -1.47968
1522.01, -1.47501
1521.92, -1.47034
1521.82, -1.46567
1521.73, -1.46101
1521.63, -1.45635
1521.53, -1.45169
1521.44, -1.44703
1521.34, -1.44237
1521.24, -1.43772
1521.15, -1.43307
1521.05, -1.42843
1520.95, -1.42378
1520.86, -1.41914
1520.76, -1.4145
1520.67, -1.40986
1520.57, -1.40523
1520.47, -1.4006
1520.38, -1.39597
1520.28, -1.39134
1520.18, -1.38672
1520.09, -1.38209
1519.99, -1.37747
1519.9, -1.37286
1519.8, -1.36824
1519.7, -1.36363
1519.61, -1.35902
1519.51, -1.35441
1519.42, -1.34981
1519.32, -1.3452
1519.22, -1.3406
1519.13, -1.33601
1519.03, -1.33141
1518.94, -1.32701
1518.84, -1.32277
1518.74, -1.31853
1518.65, -1.31429
1518.55, -1.31006
1518.46, -1.30582
1518.36, -1.30159
1518.26, -1.29736
1518.17, -1.29314
1518.07, -1.28891
1517.98, -1.28469
1517.88, -1.28047
1517.78, -1.27625
1517.69, -1.27204
1517.59, -1.26782
1517.5, -1.26361
1517.4, -1.2594
1517.3, -1.25519
1517.21, -1.25098
1517.11, -1.24678
1517.02, -1.24258
1516.92, -1.23838
1516.83, -1.23418
1516.73, -1.22998
1516.63, -1.22579
1516.54, -1.2216
1516.44, -1.21741
1516.35, -1.21322
1516.25, -1.20903
1516.16, -1.20485
1516.06, -1.20067
1515.96, -1.19649
1515.87, -1.19231
1515.77, -1.18814
1515.68, -1.18396
1515.58, -1.17979
1515.49, -1.17562
1515.39, -1.17145
1515.29, -1.16729
1515.2, -1.16312
1515.1, -1.15896
1515.01, -1.1548
1514.91, -1.15064
1514.82, -1.14649
1514.72, -1.14233
1514.63, -1.13818
1514.53, -1.13403
1514.44, -1.12988
1514.34, -1.12574
1514.24, -1.1216
1514.15, -1.11763
1514.05, -1.11387
1513.96, -1.1101
1513.86, -1.10633
1513.77, -1.10257
1513.67, -1.09881
1513.58, -1.09505
1513.48, -1.09129
1513.39, -1.08753
1513.29, -1.08377
1513.2, -1.08002
1513.1, -1.07627
1513, -1.07252
1512.91, -1.06877
1512.81, -1.06502
1512.72, -1.06127
1512.62, -1.05753
1512.53, -1.05379
1512.43, -1.05004
1512.34, -1.04631
1512.24, -1.04257
1512.15, -1.03883
1512.05, -1.0351
1511.96, -1.03136
1511.86, -1.02763
1511.77, -1.0239
1511.67, -1.02017
1511.58, -1.01645
1511.48, -1.01272
1511.39, -1.009
1511.29, -1.00528
1511.2, -1.00155
1511.1, -0.997836
1511.01, -0.994119
1510.91, -0.990403
1510.82, -0.986689
1510.72, -0.982977
1510.63, -0.979266
1510.53, -0.975556
1510.44, -0.971849
1510.34, -0.968143
1510.25, -0.964438
1510.15, -0.960735
1510.06, -0.957034
1509.96, -0.953334
1509.87, -0.949636
1509.77, -0.945939
1509.68, -0.942244
1509.58, -0.93855
1509.49, -0.934858
1509.39, -0.931327
1509.3, -0.928
1509.2, -0.924675
1509.11, -0.921352
1509.01, -0.918029
1508.92, -0.914708
1508.82, -0.911388
1508.73, -0.908069
1508.63, -0.904752
1508.54, -0.901436
1508.44, -0.898121
1508.35, -0.894808
1508.26, -0.891495
1508.16, -0.888184
1508.07, -0.884874
1507.97, -0.881566
1507.88, -0.878258
1507.78, -0.874952
1507.69, -0.871648
1507.59, -0.868344
1507.5, -0.865042
1507.4, -0.861741
1507.31, -0.858441
1507.21, -0.855143
1507.12, -0.851845
1507.03, -0.848549
1506.93, -0.845255
1506.84, -0.841961
1506.74, -0.838669
1506.65, -0.835378
1506.55, -0.832088
1506.46, -0.8288
1506.36, -0.825513
1506.27, -0.822227
1506.18, -0.818942
1506.08, -0.815658
1505.99, -0.812376
1505.89, -0.809095
1505.8, -0.805815
1505.7, -0.802536
1505.61, -0.799259
1505.51, -0.795983
1505.42, -0.792708
1505.33, -0.789435
1505.23, -0.786162
1505.14, -0.782891
1505.04, -0.779621
1504.95, -0.776352
1504.85, -0.773085
1504.76, -0.769819
1504.67, -0.766691
1504.57, -0.763785
1504.48, -0.760879
1504.38, -0.757975
1504.29, -0.755071
1504.19, -0.752169
1504.1, -0.749267
1504.01, -0.746366
1503.91, -0.743467
1503.82, -0.740568
1503.72, -0.73767
1503.63, -0.734773
1503.54, -0.731877
1503.44, -0.728983
1503.35, -0.726089
1503.25, -0.723196
1503.16, -0.720304
1503.07, -0.717413
1502.97, -0.714523
1502.88, -0.711634
1502.78, -0.708745
1502.69, -0.705858
1502.6, -0.702972
1502.5, -0.700087
1502.41, -0.697203
1502.31, -0.694319
1502.22, -0.691437
1502.13, -0.688555
1502.03, -0.685675
1501.94, -0.682795
1501.84, -0.679917
1501.75, -0.677039
1501.66, -0.674163
1601.67, -58.4039
1601.56, -58.4039
1601.45, -58.4039
1601.35, -58.4039
1601.24, -58.4039
1601.13, -58.4039
1601.03, -58.4039
1600.92, -58.4039
1600.81, -58.4039
1600.71, -58.4039
1600.6, -58.4039
1600.49, -58.4039
1600.39, -58.4039
1600.28, -58.4039
1600.17, -58.4039
1600.07, -58.4039
1599.96, -58.3816
1599.85, -58.3225
1599.75, -58.2639
1599.64, -58.2056
1599.53, -58.1477
1599.43, -58.0902
1599.32, -58.033
1599.21, -57.9763
1599.11, -57.9199
1599, -57.8639
1598.9, -57.8082
1598.79, -57.7529
1598.68, -57.6979
1598.58, -57.6433
1598.47, -57.589
1598.36, -57.5351
1598.26, -57.4815
1598.15, -57.4282
1598.04, -57.3753
1597.94, -57.3226
1597.83, -57.2703
1597.73, -57.2183
1597.62, -57.1666
1597.51, -57.1152
1597.41, -57.0641
1597.3, -57.0134
1597.19, -56.9629
1597.09, -56.9127
1596.98, -56.8628
1596.88, -56.8131
1596.77, -56.7638
1596.66, -56.7147
1596.56, -56.6659
1596.45, -56.6174
1596.35, -56.5692
1596.24, -56.5212
1596.13, -56.4735
1596.03, -56.426
1595.92, -56.3788
1595.82, -56.3319
1595.71, -56.2852
1595.6, -56.2388
1595.5, -56.1926
1595.39, -56.1466
1595.29, -56.1009
1595.18, -56.0554
1595.07, -56.0102
1594.97, -55.9652
1594.86, -55.9204
1594.76, -55.8759
1594.65, -55.8363
1594.54, -55.8067
1594.44, -55.7771
1594.33, -55.7477
1594.23, -55.7183
1594.12, -55.6891
1594.02, -55.66
1593.91, -55.6309
1593.8, -55.602
1593.7, -55.5731
1593.59, -55.5444
1593.49, -55.5157
1593.38, -55.4872
1593.28, -55.4587
1593.17, -55.4303
1593.06, -55.402
1592.96, -55.3738
1592.85, -55.3457
1592.75, -55.3177
1592.64, -55.2898
1592.54, -55.262
1592.43, -55.2342
1592.33, -55.2066
1592.22, -55.179
1592.11, -55.1515
1592.01, -55.1241
1591.9, -55.0968
1591.8, -55.0696
1591.69, -55.0424
1591.59, -55.0154
1591.48, -54.9884
1591.38, -54.9615
1591.27, -54.9347
1591.16, -54.908
1591.06, -54.8814
1590.95, -54.8548
1590.85, -54.8283
1590.74, -54.802
1590.64, -54.7756
1590.53, -54.7494
1590.43, -54.7232
1590.32, -54.6972
1590.22, -54.6712
1590.11, -54.6452
1590.01, -54.6194
1589.9, -54.5936
1589.8, -54.5679
1589.69, -54.5423
1589.59, -54.5168
1589.48, -54.4913
1589.38, -54.4272
1589.27, -54.261
1589.17, -54.0979
1589.06, -53.9378
1588.96, -53.7806
1588.85, -53.6262
1588.74, -53.4744
1588.64, -53.3253
1588.53, -53.1787
1588.43, -53.0346
1588.32, -52.8928
1588.22, -52.7532
1588.11, -52.6159
1588.01, -52.4807
1587.9, -52.3476
1587.8, -52.2165
1587.69, -52.0874
1587.59, -51.9601
1587.49, -51.8347
1587.38, -51.711
1587.28, -51.5891
1587.17, -51.4689
1587.07, -51.3503
1586.96, -51.2334
1586.86, -51.1179
1586.75, -51.004
1586.65, -50.8916
1586.54, -50.7806
1586.44, -50.671
1586.33, -50.5628
1586.23, -50.4559
1586.12, -50.3503
1586.02, -50.2459
1585.91, -50.1428
1585.81, -50.0409
1585.7, -49.9402
1585.6, -49.8407
1585.49, -49.7423
1585.39, -49.645
1585.29, -49.5487
1585.18, -49.4535
1585.08, -49.3594
1584.97, -49.2662
1584.87, -49.1741
1584.76, -49.0829
1584.66, -48.9926
1584.55, -48.9033
1584.45, -48.8149
1584.34, -48.7274
1584.24, -48.6408
1584.14, -48.5622
1584.03, -48.5097
1583.93, -48.4575
1583.82, -48.4056
1583.72, -48.3541
1583.61, -48.3029
1583.51, -48.2519
1583.4, -48.2013
1583.3, -48.1509
1583.2, -48.1008
