wavelength(nm), Y
1516.16, -3.97373
1516.06, -3.97257
1515.96, -3.9714
1515.87, -3.97024
1515.77, -3.96907
1515.68, -3.96791
1515.58, -3.96675
1515.49, -3.96558
1515.39, -3.96447
1515.29, -3.96338
1515.2, -3.96229
1515.1, -3.9612
1515.01, -3.9601
1514.91, -3.95901
1514.82, -3.95792
1514.72, -3.95683
1514.63, -3.95574
1514.53, -3.95464
1514.44, -3.95355
1514.34, -3.95246
1514.24, -3.95137
1514.15, -3.95028
1514.05, -3.94919
1513.96, -3.9481
1513.86, -3.94701
1513.77, -3.94591
1513.67, -3.94482
1513.58, -3.94373
1513.48, -3.94267
1513.39, -3.94165
1513.29, -3.94062
1513.2, -3.9396
1513.1, -3.93858
1513, -3.93756
1512.91, -3.93654
1512.81, -3.93552
1512.72, -3.9345
1512.62, -3.93347
1512.53, -3.93245
1512.43, -3.93143
1512.34, -3.93041
1512.24, -3.92939
1512.15, -3.92837
1512.05, -3.92735
1511.96, -3.92633
1511.86, -3.92531
1511.77, -3.92429
1511.67, -3.92327
1511.58, -3.92225
1511.48, -3.92129
1511.39, -3.92034
1511.29, -3.91939
1511.2, -3.91843
1511.1, -3.91748
1511.01, -3.91653
1510.91, -3.91558
1510.82, -3.91462
1510.72, -3.91367
1510.63, -3.91272
1510.53, -3.91177
1510.44, -3.91081
1510.34, -3.90986
1510.25, -3.90891
1510.15, -3.90796
1510.06, -3.90701
1509.96, -3.90606
1509.87, -3.9051
1509.77, -3.90415
1509.68, -3.9032
1509.58, -3.90228
1509.49, -3.90139
1509.39, -3.90051
1509.3, -3.89962
1509.2, -3.89873
1509.11, -3.89784
1509.01, -3.89696
1508.92, -3.89607
1508.82, -3.89518
1508.73, -3.8943
1508.63, -3.89341
1508.54, -3.89252
1508.44, -3.89164
1508.35, -3.89075
1508.26, -3.88986
1508.16, -3.88898
1508.07, -3.88809
1507.97, -3.88721
1507.88, -3.88632
1507.78, -3.88543
1507.69, -3.88455
1507.59, -3.88373
1507.5, -3.8829
1507.4, -3.88208
1507.31, -3.88126
1507.21, -3.88043
1507.12, -3.87961
1507.03, -3.87878
1506.93, -3.87796
1506.84, -3.87714
1506.74, -3.87631
1506.65, -3.87549
1506.55, -3.87467
1506.46, -3.87384
1506.36, -3.87302
1506.27, -3.8722
1506.18, -3.87137
1506.08, -3.87055
1505.99, -3.86973
1505.89, -3.8689
1505.8, -3.86808
1505.7, -3.8673
1505.61, -3.86653
1505.51, -3.86577
1505.42, -3.86501
1505.33, -3.86424
1505.23, -3.86348
1505.14, -3.86272
1505.04, -3.86195
1504.95, -3.86119
1504.85, -3.86043
1504.76, -3.85966
1504.67, -3.8589
1504.57, -3.85814
1504.48, -3.85738
1504.38, -3.85661
1504.29, -3.85585
1504.19, -3.85509
1504.1, -3.85433
1504.01, -3.85356
1503.91, -3.8528
1503.82, -3.85205
1503.72, -3.85135
1503.63, -3.85064
1503.54, -3.84994
1503.44, -3.84923
1503.35, -3.84853
1503.25, -3.84782
1503.16, -3.84712
1503.07, -3.84641
1502.97, -3.84571
1502.88, -3.845
1502.78, -3.8443
