["port 1","LEFT"]
["port 2","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(302, 3)
1.9447239297519509e+14 2.2392902775725625e-02 6.6972992188793352e+00
1.9451417007357859e+14 2.2229026360705686e-02 6.7046489931782398e+00
1.9455594717196209e+14 2.2070563077447293e-02 6.7115779520142782e+00
1.9459772427034559e+14 2.1917903151748994e-02 6.7180946976007574e+00
1.9463950136872909e+14 2.1771424130875513e-02 6.7242094367244230e+00
1.9468127846711259e+14 2.1631489058821975e-02 6.7299340126406433e+00
1.9472305556549609e+14 2.1498444637268053e-02 6.7352819218597633e+00
1.9476483266387959e+14 2.1372619391728662e-02 6.7402683141201232e+00
1.9480660976226309e+14 2.1254321864425812e-02 6.7449099740513230e+00
1.9484838686064659e+14 2.1143838857150325e-02 6.7492252833137041e+00
1.9489016395903009e+14 2.1041433748636637e-02 6.7532341623519692e+00
1.9493194105741359e+14 2.0947344911765451e-02 6.7569579913158186e+00
1.9497371815579709e+14 2.0861784256040211e-02 6.7604195101734099e+00
1.9501549525418059e+14 2.0784935920268668e-02 6.7636426985516769e+00
1.9505727235256409e+14 2.0716955139114500e-02 6.7666526363740074e+00
1.9509904945094759e+14 2.0657967305243396e-02 6.7694753468978170e+00
1.9514082654933109e+14 2.0608067246007982e-02 6.7721376242713944e+00
1.9518260364771459e+14 2.0567318730345074e-02 6.7746668481968895e+00
1.9522438074609809e+14 2.0535754217526774e-02 6.7770907886922727e+00
1.9526615784448159e+14 2.0513374855086610e-02 6.7794374042592098e+00
1.9530793494286509e+14 2.0500150728484060e-02 6.7817346369809082e+00
1.9534971204124859e+14 2.0496021360237256e-02 6.7840102081725622e+00
1.9539148913963209e+14 2.0500896451456169e-02 6.7862914181892036e+00
1.9543326623801559e+14 2.0514656854037205e-02 6.7886049538604203e+00
1.9547504333639909e+14 2.0537155757579178e-02 6.7909767067723141e+00
1.9551682043478259e+14 2.0568220071310459e-02 6.7934316052725423e+00
1.9555859753316609e+14 2.0607651978212356e-02 6.7959934626485294e+00
1.9560037463154959e+14 2.0655230636102126e-02 6.7986848434419560e+00
1.9564215172993309e+14 2.0710713998842306e-02 6.8015269493403538e+00
1.9568392882831659e+14 2.0773840729938535e-02 6.8045395255492984e+00
1.9572570592670009e+14 2.0844332180677980e-02 6.8077407880198741e+00
1.9576748302508359e+14 2.0921894405589163e-02 6.8111473714066149e+00
1.9580926012346709e+14 2.1006220189170553e-02 6.8147742971744538e+00
1.9585103722185059e+14 2.1096991059621872e-02 6.8186349608768273e+00
1.9589281432023409e+14 2.1193879267451289e-02 6.8227411372959796e+00
1.9593459141861759e+14 2.1296549709336855e-02 6.8271030018770915e+00
1.9597636851700109e+14 2.1404661780276182e-02 6.8317291667013240e+00
1.9601814561538459e+14 2.1517871139853349e-02 6.8366267291249621e+00
1.9605992271376809e+14 2.1635831381224185e-02 6.8418013311605899e+00
1.9610169981215159e+14 2.1758195594115119e-02 6.8472572276801209e+00
1.9614347691053512e+14 2.1884617815685844e-02 6.8529973615754534e+00
1.9618525400891862e+14 2.2014754365471803e-02 6.8590234441051585e+00
1.9622703110730212e+14 2.2148265062733548e-02 6.8653360387834352e+00
1.9626880820568562e+14 2.2284814326419780e-02 6.8719346473126048e+00
1.9631058530406912e+14 2.2424072159559154e-02 6.8788177962240828e+00
1.9635236240245262e+14 2.2565715021231478e-02 6.8859831230591011e+00
1.9639413950083612e+14 2.2709426590360481e-02 6.8934274610916502e+00
1.9643591659921962e+14 2.2854898426426622e-02 6.9011469217585288e+00
1.9647769369760312e+14 2.3001830532817801e-02 6.9091369741196074e+00
1.9651947079598662e+14 2.3149931828973177e-02 6.9173925208162554e+00
1.9656124789437012e+14 2.3298920537731381e-02 6.9259079701286508e+00
1.9660302499275362e+14 2.3448524494430644e-02 6.9346773038515295e+00
1.9664480209113712e+14 2.3598481384240623e-02 6.9436941408122532e+00
1.9668657918952062e+14 2.3748538914172994e-02 6.9529517959441955e+00
